id                        education income women prestige census type
ELECTRICIANS                   9.93   7147  0.99     50.2   8733   bc
CONSTRUCTION.FOREMEN           8.24   8880  0.65     51.1   8780   bc
CARPENTERS                     6.92   5299  0.56     38.9   8781   bc
MASONS                         6.60   5959  0.52     36.2   8782   bc
HOUSE.PAINTERS                 7.81   4549  2.46     29.9   8785   bc
PLUMBERS                       8.33   6928  0.61     42.9   8791   bc
CONSTRUCTION.LABOURERS         7.52   3910  1.09     26.5   8798   bc
PILOTS                        12.27  14032  0.58     66.1   9111 prof
TRAIN.ENGINEERS                8.49   8845  0.00     48.9   9131   bc
BUS.DRIVERS                    7.58   5562  9.47     35.9   9171   bc
TAXI.DRIVERS                   7.93   4224  3.59     25.1   9173   bc
LONGSHOREMEN                   8.37   4753  0.00     26.1   9313   bc
TYPESETTERS                   10.00   6462 13.58     42.2   9511   bc
BOOKBINDERS                    8.55   3617 70.87     35.2   9517   bc
